year,Accident title,Date,Location,Coordinates,Cause,Deaths,Latitude,Longitude,Causetype
2018,Bouknadel Train Derailment,"16, October, 2018","Sidi Bouknadel ⵙⵉⴷⵉ ⴱⵓⵇⵏⴰⴷⵍ سيدي بوقنادل, Pachalik de Sidi Bouknadel, Préfecture de Salé عمالة سلا, Rabat-Salé-Kénitra ⵔⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ الرباط-سلا-القنيطرة, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",34.123948;-6.733029,missing info,7,34.123948,-6.733029,Cause information missing
2018,Amritsar Train Disaster,"19, October, 2018","Amritsar, Amritsar I Tahsil, Amritsar, Punjab, 143001, India",31.63083;74.89722,trespassing,59,31.63083,74.89722,Other
2018,"Cayce, South Carolina Train Collision","4, February, 2018","Cayce, Lexington County, South Carolina, 29033, United States",33.90861;-81.0675,misaligned switch,2,33.90861,-81.0675,Other
2018,Çorlu Train Derailment,"8, July, 2018","Sarılar, Kırkkepenekli - Sarılar Yolu, Kırkkepenekli, Sarılar Mahallesi, Çorlu, Tekirdağ, Marmara Bölgesi, Türkiye",41.1562;27.6889,missing info,24,41.1562,27.6889,Cause information missing
2018,"Crozet, Virginia Train Crash","31, January, 2018","Crozet, Albemarle County, Virginia, 23932, United States",38.0773314;-78.71675,vehicle incursion,1,38.0773314,-78.71675,Other
2018,Hennenman–Kroonstad Train Crash,"4, January, 2018","New York State Agricultural Experiment Station, Catle Creek Drive, Geneva, Ontario County, New York, 14456, United States",-27.82194;27.13444,under investigation,21,-27.82194,27.13444,Under Investigation
2018,Lewisham Train Strandings,"2, March, 2018","Lewisham, St Johns And New Cross, London","Lewisham, St Johns And New Cross, London",weather,0,,,Other
2018,Marşandiz Train Collision,"13, December, 2018","Marşandiz Railway Station, Yenimahalle, Ankara Province",39.93417;32.77833,lack of signalling ,9,39.93417,32.77833,Signalling Error
2018,Niklasdorf Train Collision,"12, February, 2018","Niklasdorf, Bezirk Leoben, Steiermark, 8712, Österreich",47.3969055;15.1571394,under investigation,1,47.3969055,15.1571394,Under Investigation
2018,Oss Rail Accident,"20, September, 2018","Oss, Noord-Brabant, Nederland",51.75859;5.50757,missing info,4,51.75859,5.50757,Cause information missing
2018,Pioltello Train Derailment,"25, January, 2018","Pioltello, Città metropolitana di Milano, Lombardia, 20096, Italia",45.4829;9.3124,broken rail,3,45.4829,9.3124,Track/Rail Error
2018,Yilan Train Derailment,"21, October, 2018","Xinma Station, Su'Ao, Yilan County ",24.61583;121.82333,excessive speed,18,24.61583,121.82333,Excessive Speed
2019,Great Belt Bridge Rail Accident,"2, January, 2019","West Bridge, Great Belt Fixed Link",55.30119;10.85988,collision with semitrailer from cargo train,8,55.30119,10.85988,Track/Rail Error
2019,Mondobhag Train Collision,"12, November, 2019","Mondobhag Railway Station, Kasba",23.6879;91.1527,spad,16,23.6879,91.1527,Other
2019,Mountain View Train Collision,"8, January, 2019","Mountain View, Grobler Street, Parktown, Tshwane Ward 1, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0182, South Africa",-25.7012375;28.1711548,missing info,4,-25.7012375,28.1711548,Cause information missing
2019,Ramses Station Rail Disaster,"27, February, 2019","Ramses II, شارع وسيم حسن, الاسماعيليه, ميدان عبد المنعم رياض, القاهرة, محافظة القاهرة, 11111, مصر",30.06306;31.24667,missing info,25,30.06306,31.24667,Cause information missing
2019,Sadiqabad Railway Accident,"11, July, 2019","Walhar Railway Station, Rahim Yar Khan, Punjab",28.2015;69.9906,missing info,24,28.2015,69.9906,Cause information missing
2019,Seemanchal Express Derailment,"3, February, 2019","Vaishali, Bihar, 847128, India",25.66111;85.455,missing info,6,25.66111,85.455,Cause information missing
2019,Tezgam Train Fire,"31, October, 2019",Liaquat Pur Railway Station,29.00722;70.98889,missing info,75,29.00722,70.98889,Cause information missing
2020,Wallan Derailment,"20, February, 2020","Wallan, Shire of Mitchell, Victoria, 3756, Australia",-37.40417;145.01833,under investigation,2,-37.40417,145.01833,Under Investigation
2020,Aurangabad Railway Accident,"8, May, 2020","Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia",19.87583;75.55833,death by impact,16,19.87583,75.55833,Other
2020,Carnate Derailment,"19, August, 2020",Paderno-Robbiate Station Carnate-Usmate Station ,45.65306;9.375,under investigation,Unknows number of deaths,45.65306,9.375,Under Investigation
2020,De Akkers Metro Station Crash,"2, November, 2020","De Akkers Metro Station, Spijkenisse","De Akkers Metro Station, Spijkenisse",derailment,0,,,Derailment
2020,Ingenheim Derailment,"5, March, 2020","Ingenheim, Saverne, Bas-Rhin, Grand Est, France métropolitaine, 67270, France",48.734291999999996;7.526646466331776,landslip,Unknows number of deaths,48.734291999999996,7.526646466331776,Environmental Cause
2020,Livraga Derailment,"6, , 2020","Livraga, Lodi, Lombardia, 26814, Italia",45.192268;9.54646,under investigation,2,45.192268,9.54646,Under Investigation
2020,Llangennech Derailment,"26, August, 2020","Llangennech, Sir Gaerfyrddin / Carmarthenshire, Cymru / Wales, SA14 8TW, United Kingdom",51.6955782;-4.0849202,defective brakes on a wagon causing axle seizure which led to track deformation under the train,Unknows number of deaths,51.6955782,-4.0849202,Technical Error
2020,New York City Subway Fire,"27, March, 2020",Between Th Street And Central Park North–Th Street,40.7987;-73.9523,arson,1,40.7987,-73.9523,Other
2020,Soure Train Crash,"31, July, 2020","Soure, Coimbra, 3130-217, Portugal",40.05778;-8.63833,human error ,2,40.05778,-8.63833,Human Error
2020,Stonehaven Derailment,"12, August, 2020","Stonehaven, Aberdeenshire, Scotland, AB39 2BT, United Kingdom",56.9525;-2.321111,train striking landslip,3,56.9525,-2.321111,Environmental Cause
2021,Ghotki Rail Crash,"7, June, 2021","Daharki, Ghotki District, Sindh",28.07278;69.84278,missing info,65,28.07278,69.84278,Cause information missing
2021,Hualien Train Derailment,"2, April, 2021","Qingshui Tunnel, Xiulinhualien County",24.2171;121.6883,collision with truck that rolled down slope onto track,49,24.2171,121.6883,Track/Rail Error
2021,Kelana Jaya Lrt Collision,"24, May, 2021",Between Kampung Baru Lrt Station And Klcc Lrt Station,3.16139;101.70778,human error,Unknows number of deaths,3.16139,101.70778,Human Error
2021,Mexico City Metro Overpass Collapse,"3, May, 2021","Tezonco–Olivos Elevated Interstationtláhuac Avenue, Tláhuac, Mexico City",19.3049;-99.0613,lack of functional studs and poor welds that led to fatigue in the collapse point,26,19.3049,-99.0613,Other
2021,Milavče Train Crash,"4, August, 2021","Milavče, okres Domažlice, Plzeňský kraj, Jihozápad, Česko",49.46528;12.985,missing info,3,49.46528,12.985,Cause information missing
2021,Salisbury Rail Crash,"31, October, 2021",Fisherton Tunnel Mi  North East From Salisbury,51.077556;-1.78556,signal passed at danger due to low railhead adhesion,0,51.077556,-1.78556,Track/Rail Error
2021,Sohag Train Collision,"26, March, 2021","مركز طهطا, سوهاج, 82621, مصر",26.74472;31.52972,intentional triggering of emergency brakes,18,26.74472,31.52972,Brake Failure/Error
2021,Světec Train Crash,"4, April, 2021","Světec, okres Teplice, Ústecký kraj, Severozápad, 41753, Česko",50.5761297;13.8115942,under investigation ,1,50.5761297,13.8115942,Under Investigation
2021,Toukh Train Accident,"18, April, 2021","طوخ, القليوبية, 13741, مصر",30.3540508;31.200979,missing info,23,30.3540508,31.200979,Cause information missing
